Year,Consumption
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,
1994,
1995,
1996,
1997,
1998,
1999,
2000,
2001,
2002,
2003,
2004,
2005,
2006,
2007,
2008,
2009,
2010,4684.663296
2011,4653.132766
2012,4615.060433
2013,4925.806627
2014,4939.571276
2015,5026.667022
2016,4804.999877
2017,4753.247358
2018,4590.653217
2019,4736.555762
2020,4703.835488
