Year,Pop_growth
1984,
1985,
1986,
1987,
1988,
1989,
1990,0
1991,175900
1992,123000
1993,104300
1994,126500
1995,154700
1996,135600
1997,145700
1998,155800
1999,212300
2000,200400
2001,216400
2002,229600
2003,246200
2004,269100
2005,411400
2006,359200
2007,415900
2008,434800
2009,380500
2010,446100
2011,464700
2012,386500
2013,372100
2014,450800
2015,469700
2016,481800
2017,351300
2018,357800
2019,309800
2020,263000
